iter	RMSE
0	8.078162812
1	6.859742559
2	5.902761094
3	5.178919175
4	4.555203083
5	4.128752344
6	3.760185154
7	3.484024061
8	3.245934479
9	3.049838473
10	2.912219619
11	2.779363659
12	2.687343774
13	2.63452484
14	2.57711576
15	2.517447349
16	2.444511426
17	2.399979914
18	2.339776732
19	2.321580223
20	2.28666037
21	2.264461578
22	2.231348111
23	2.209730261
24	2.194113483
25	2.16904469
26	2.153956086
27	2.142332242
28	2.127613447
29	2.114389342
30	2.087543437
31	2.078610702
32	2.058660685
33	2.051874364
34	2.036826908
35	2.022496652
36	2.007583179
37	2.001982769
38	1.989662305
39	1.972091923
40	1.950784798
41	1.943221275
42	1.931488894
43	1.924629813
44	1.915944102
45	1.899120783
46	1.881797672
47	1.869675656
48	1.853211601
49	1.840093527
50	1.82617737
51	1.816369437
52	1.799161151
53	1.791532924
54	1.786385434
55	1.773958454
56	1.767870381
57	1.759657785
58	1.749180155
59	1.743786177
60	1.734374875
61	1.725484808
62	1.717262912
63	1.712716378
64	1.706851398
65	1.69597332
66	1.687708163
67	1.678437684
68	1.669486395
69	1.66111649
70	1.652990036
71	1.643335422
72	1.637516473
73	1.627976376
74	1.617540203
75	1.610541808
76	1.600122214
77	1.589330219
78	1.579190073
79	1.572431641
80	1.562855418
81	1.556444023
82	1.546788877
83	1.541769206
84	1.536509109
85	1.525743919
86	1.515365043
87	1.506828314
88	1.498211943
89	1.492215994
90	1.485385309
91	1.483565824
92	1.478408263
93	1.473955073
94	1.466346365
95	1.456564725
96	1.446802336
97	1.441419135
98	1.437671223
99	1.434406169
100	1.42628094
101	1.41672214
102	1.412179913
103	1.407097993
104	1.400405732
105	1.395905275
106	1.389322963
107	1.384956614
108	1.379780451
109	1.372234589
110	1.368311292
111	1.361060478
112	1.357294141
113	1.353864116
114	1.344456125
115	1.341832998
116	1.332505664
117	1.327426947
118	1.324124128
119	1.317613493
120	1.314292003
121	1.310230301
122	1.303367554
123	1.295052343
124	1.289733783
125	1.282993082
126	1.278416469
127	1.27374296
128	1.270753767
129	1.266008028
130	1.260017498
131	1.256150651
132	1.254207782
133	1.250336797
134	1.242257829
135	1.236640154
136	1.231784179
137	1.227593649
138	1.222750874
139	1.217424692
140	1.213527984
141	1.209907916
142	1.207632753
143	1.203615304
144	1.201415606
145	1.198318742
146	1.195269007
147	1.190984057
148	1.185326083
149	1.183274642
150	1.177133227
151	1.173656263
152	1.170968877
153	1.168027155
154	1.165757299
155	1.162959189
156	1.160273374
157	1.155621856
158	1.150385268
159	1.148146972
160	1.14395476
161	1.138898469
162	1.132335994
163	1.12652799
164	1.124295704
165	1.11921091
166	1.117413463
167	1.112947452
168	1.111271761
169	1.106343805
170	1.101998443
171	1.100267753
172	1.095857241
173	1.090693962
174	1.088873687
175	1.084657476
176	1.08185331
177	1.079304852
178	1.076283355
179	1.071770871
180	1.068441081
181	1.06568369
182	1.063796616
183	1.059062971
184	1.056304999
185	1.053328257
186	1.051451382
187	1.048636369
188	1.045044643
189	1.042274523
190	1.039415431
191	1.035981277
192	1.032341292
193	1.028140756
194	1.023862055
195	1.021698117
196	1.016665273
197	1.013379199
198	1.011929988
199	1.009995
200	1.00727053
201	1.003606652
202	0.9997975715
203	0.9966833643
204	0.9941100343
205	0.991381938
206	0.9874155519
207	0.9843233223
208	0.9802406375
209	0.9781821332
210	0.9771763902
211	0.9741785795
212	0.9708633505
213	0.9687164595
214	0.9647594909
215	0.9634835575
216	0.9611639176
217	0.9587595162
218	0.9575625888
219	0.9557845533
220	0.9544850214
221	0.951927617
222	0.9484496497
223	0.9463605344
224	0.9430737797
225	0.9406944493
226	0.9375090934
227	0.9341985824
228	0.9321415943
229	0.9293446087
230	0.9270749825
231	0.9234923675
232	0.9209484501
233	0.918572742
234	0.9169875265
235	0.9158890501
236	0.9136349367
237	0.9104354205
238	0.907536027
239	0.9051289946
240	0.9034530064
241	0.8996146204
