iter	Passed	Remaining
0	7	7076
1	13	6964
2	21	7109
3	27	6960
4	33	6600
5	36	5985
6	39	5575
7	42	5243
8	45	5050
9	47	4740
10	49	4474
11	51	4265
12	53	4079
13	55	3900
14	57	3774
15	60	3691
16	61	3562
17	63	3443
18	64	3339
19	66	3249
20	68	3173
21	69	3107
22	72	3088
23	75	3052
24	77	3033
25	79	2984
26	81	2935
27	83	2891
28	84	2842
29	86	2795
30	88	2762
31	90	2733
32	92	2699
33	93	2669
34	95	2638
35	97	2605
36	98	2574
37	101	2578
38	103	2556
39	105	2536
40	107	2504
41	108	2477
42	110	2453
43	111	2427
44	113	2408
45	115	2391
46	117	2378
47	119	2370
48	122	2373
49	125	2375
50	126	2361
51	128	2350
52	130	2338
53	132	2326
54	135	2327
55	137	2318
56	139	2312
57	141	2300
58	143	2289
59	145	2278
60	147	2268
61	149	2258
62	151	2254
63	154	2255
64	155	2243
65	157	2231
66	159	2219
67	161	2209
68	163	2199
69	164	2189
70	167	2189
71	169	2180
72	170	2171
73	172	2161
74	174	2152
75	176	2143
76	178	2134
77	179	2127
78	182	2124
79	184	2116
80	185	2108
81	187	2100
82	189	2093
83	191	2090
84	196	2111
85	198	2112
86	203	2130
87	206	2139
88	210	2150
89	216	2190
90	221	2212
91	224	2220
92	228	2226
93	235	2268
94	237	2266
95	240	2268
96	244	2273
97	247	2280
98	250	2284
99	253	2277
100	254	2269
101	257	2263
102	259	2261
103	262	2263
104	264	2255
105	266	2246
106	268	2237
107	269	2226
108	271	2218
109	273	2209
110	274	2200
111	276	2194
112	278	2189
113	280	2181
114	282	2173
115	284	2167
116	286	2161
117	288	2159
118	290	2154
119	292	2148
120	294	2142
121	296	2137
122	298	2129
123	300	2122
124	302	2115
125	304	2112
126	306	2104
127	308	2103
128	311	2103
129	313	2098
130	315	2092
131	317	2085
132	318	2078
133	320	2071
134	321	2062
135	324	2060
136	326	2054
137	327	2047
138	329	2040
139	331	2034
140	333	2031
141	335	2025
142	337	2022
143	339	2021
144	341	2016
145	344	2012
146	346	2009
147	348	2008
148	351	2006
149	353	2003
150	355	1998
151	357	1991
152	358	1984
153	360	1978
154	361	1972
155	363	1966
156	365	1961
157	367	1957
158	369	1952
159	371	1949
160	373	1948
161	376	1945
162	378	1941
163	379	1936
164	381	1932
165	383	1928
166	385	1924
167	387	1920
168	389	1917
169	391	1913
170	394	1910
171	395	1906
172	397	1901
173	399	1898
174	401	1894
175	403	1890
176	405	1887
177	407	1883
178	409	1879
179	411	1875
180	413	1871
181	415	1868
182	417	1863
183	419	1860
184	421	1857
185	423	1854
186	425	1851
187	427	1848
188	430	1845
189	432	1841
190	434	1838
191	435	1834
192	437	1830
193	439	1827
194	441	1823
195	443	1819
196	446	1819
197	448	1815
198	450	1812
199	452	1808
200	454	1805
201	456	1801
202	458	1798
203	460	1795
204	462	1791
205	463	1788
206	465	1784
207	467	1781
208	469	1778
209	471	1775
210	473	1771
211	475	1768
212	477	1765
213	479	1762
214	481	1758
215	483	1755
216	485	1752
